index,set,topic,user_prompt,credit_hours,catalog_year,degree_major_concentration
194,senior,Graduation Requirements & Academic Planning,"Am I definitely on track to graduate on time, and what's my degree audit status?",30 to 59,2023-2024,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
195,senior,Graduation Requirements & Academic Planning,What are my options if I'm missing any credits or requirements?,Up to 29,2023-2024,BSSE Systems Engineering
196,senior,Graduation Requirements & Academic Planning,"How do I register for my senior capstone project, and what are my options?",90 to 119,2021-2022,BSCM Construction Management
197,senior,Graduation Requirements & Academic Planning,Should I take any additional electives to strengthen my background for my career goals?,None yet!,2025-2026,BS Environmental Engineering
198,senior,Graduation Requirements & Academic Planning,"What's the process for applying for graduation, and when are the deadlines?",30 to 59,2022-2023,BS Dual Degree Physics and Mechanical Engineering
199,senior,Graduation Requirements & Academic Planning,Are there any final GPA considerations I should be aware of for graduation honors?,150 or more,2021-2022,"BSME Mechanical Engineering, Energy Engineering Concentration"
200,senior,Graduation Requirements & Academic Planning,How do I handle course conflicts or scheduling issues in my final semesters?,90 to 119,2023-2024,BS Dual Degree Physics and Mechanical Engineering
201,senior,Capstone Project & Design Experience,How do I choose a capstone project that aligns with my career interests?,150 or more,2021-2022,"BSEE Electrical Engineering, Machine Learning Concentration"
202,senior,Capstone Project & Design Experience,What's expected in terms of scope and deliverables for the senior design project?,30 to 59,2022-2023,BS Dual Degree Physics and Computer Engineering
203,senior,Capstone Project & Design Experience,How do I form an effective team for my capstone project?,60 to 89,2022-2023,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
204,senior,Capstone Project & Design Experience,"What industry sponsors are available, and how do I connect with them?",60 to 89,2024-2025,BSSE Systems Engineering
205,senior,Capstone Project & Design Experience,How much time should I allocate each week to my capstone project?,120 to 149,2021-2022,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
206,senior,Capstone Project & Design Experience,What resources and faculty support are available for my senior project?,150 or more,2022-2023,BSCM Construction Management
207,senior,Capstone Project & Design Experience,How does the capstone project factor into my overall academic record?,90 to 119,2023-2024,BSCE Civil Engineering
208,senior,Job Search & Career Transition,What's the realistic timeline for full-time job applications and interviews?,60 to 89,2022-2023,BS Dual Degree Physics and Electrical Engineering
209,senior,Job Search & Career Transition,How do I leverage my senior project and coursework in job interviews?,30 to 59,2023-2024,"BSME Mechanical Engineering, Energy Engineering Concentration"
210,senior,Job Search & Career Transition,What salary ranges should I expect for entry-level mechanical engineering positions?,30 to 59,2023-2024,BSCE Civil Engineering
211,senior,Job Search & Career Transition,Should I be focusing on specific geographic regions or staying flexible?,30 to 59,2024-2025,BS Environmental Engineering
212,senior,Job Search & Career Transition,How do I negotiate job offers and evaluate different opportunities?,150 or more,2022-2023,BS Dual Degree Physics and Mechanical Engineering
213,senior,Job Search & Career Transition,What's the best way to handle multiple interview processes simultaneously?,120 to 149,2022-2023,"BSSE Systems Engineering, Energy Systems Concentration"
214,senior,Job Search & Career Transition,When should I start declining opportunities to focus on my top choices?,90 to 119,2023-2024,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
215,senior,Graduate School Applications (if applicable),What are my realistic chances for the graduate programs I'm considering?,Up to 29,2023-2024,BS Environmental Engineering
216,senior,Graduate School Applications (if applicable),How do I balance grad school applications with job searching?,60 to 89,2024-2025,BS Dual Degree Physics and Mechanical Engineering
217,senior,Graduate School Applications (if applicable),"What's the timeline for graduate school applications, and what deadlines am I facing?",None yet!,2025-2026,BSCPE Computer Engineering
218,senior,Graduate School Applications (if applicable),How do I secure strong letters of recommendation from faculty?,None yet!,2025-2026,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
219,senior,Graduate School Applications (if applicable),"Should I be taking the GRE this semester, and when should I schedule it?",150 or more,2022-2023,"BSEE Electrical Engineering, Machine Learning Concentration"
220,senior,Graduate School Applications (if applicable),How do I write a compelling personal statement that stands out?,30 to 59,2023-2024,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
221,senior,Graduate School Applications (if applicable),What backup plans should I have if I don't get into my target programs?,90 to 119,2023-2024,"BSEE Electrical Engineering, Machine Learning Concentration"
222,senior,Professional Preparation & Transition,What professional skills do I still need to develop before entering the workforce?,Up to 29,2023-2024,BSCM Construction Management
223,senior,Professional Preparation & Transition,How do I build a strong professional portfolio showcasing my best work?,Up to 29,2024-2025,BSCPE Computer Engineering
224,senior,Professional Preparation & Transition,What should I know about workplace culture and expectations in engineering?,30 to 59,2024-2025,BS Dual Degree Physics and Computer Engineering
225,senior,Professional Preparation & Transition,How do I maintain and expand my professional network as I transition to work?,60 to 89,2021-2022,"BSCE Civil Engineering, Land Development Engineering Concentration"
226,senior,Professional Preparation & Transition,What continuing education or professional development should I plan for post-graduation?,30 to 59,2022-2023,"BSCE Civil Engineering, Land Development Engineering Concentration"
227,senior,Professional Preparation & Transition,How do I prepare for the Fundamentals of Engineering (FE) exam?,Up to 29,2023-2024,BS Environmental Engineering
228,senior,Financial Planning & Logistics,What should I know about student loan repayment and my options after graduation?,30 to 59,2023-2024,BS Dual Degree Physics and Mechanical Engineering
229,senior,Financial Planning & Logistics,How do I plan financially for the transition period between graduation and starting work?,None yet!,2025-2026,"BSME Mechanical Engineering, Energy Engineering Concentration"
230,senior,Financial Planning & Logistics,What benefits should I look for and negotiate in job offers?,90 to 119,2022-2023,BSCM Construction Management
231,senior,Financial Planning & Logistics,How do I handle job-related relocation expenses and logistics?,60 to 89,2023-2024,"BSME Mechanical Engineering, Energy Engineering Concentration"
232,senior,Financial Planning & Logistics,What financial planning should I do for my first year out of college?,150 or more,2021-2022,"BSSE Systems Engineering, Energy Systems Concentration"
233,senior,Networking & Industry Connections,How do I maintain relationships with faculty and peers as I transition out?,30 to 59,2022-2023,"BSCE Civil Engineering, Energy Infrastructure Concentration"
234,senior,Networking & Industry Connections,What's the best way to leverage alumni networks for career opportunities?,120 to 149,2021-2022,BS Dual Degree Physics and Electrical Engineering
235,senior,Networking & Industry Connections,Should I be attending specific conferences or industry events this year?,60 to 89,2024-2025,BSCM Construction Management
236,senior,Networking & Industry Connections,How do I stay connected with my university and program after graduation?,150 or more,2021-2022,"BSCE Civil Engineering, Land Development Engineering Concentration"
237,senior,Networking & Industry Connections,What mentorship opportunities should I be pursuing as I enter the workforce?,120 to 149,2022-2023,BSME Mechanical Engineering
238,senior,Academic Excellence & Recognition,What academic honors or recognitions should I be applying for this year?,150 or more,2021-2022,BSME Mechanical Engineering
239,senior,Academic Excellence & Recognition,How do I make the most of my remaining time with faculty mentors?,90 to 119,2021-2022,"BSCE Civil Engineering, Land Development Engineering Concentration"
240,senior,Academic Excellence & Recognition,Are there any senior-specific awards or scholarships I should pursue?,90 to 119,2023-2024,"BSCPE Computer Engineering, Machine Learning Concentration"
241,senior,Academic Excellence & Recognition,How do I ensure my academic record accurately reflects my achievements?,90 to 119,2021-2022,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
242,senior,Academic Excellence & Recognition,What documentation should I keep for future professional or academic references?,150 or more,2022-2023,BSEE Electrical Engineering
243,senior,Final Semester Planning,How should I structure my final semester course load and commitments?,90 to 119,2022-2023,BS Dual Degree Physics and Electrical Engineering
244,senior,Final Semester Planning,What experiences or opportunities should I prioritize in my remaining time?,None yet!,2025-2026,BSSE Systems Engineering
245,senior,Final Semester Planning,How do I prepare mentally and practically for the transition out of college?,60 to 89,2023-2024,BS Environmental Engineering
246,senior,Final Semester Planning,What should I be doing now to set myself up for success in my first job?,Up to 29,2025-2026,BS Dual Degree Physics and Mechanical Engineering
